PMID	Title	Countries	Affiliation_Count
23147757	Transplantation: An end to bone disease after renal transplantation?	Germany	1
23147756	Kidney transplantation and the ageing immune system.	United States	1
23147760	Acute kidney injury: Adoptive transfer of tolerized dendritic cells--a potential new strategy for th...	No Affiliation Info	0
23147758	Diagnosis and treatment of lupus nephritis flares--an update.	Belgium	1
23147761	Dialysis: Does daily haemodialysis reduce survival?	United States	1
23147764	Podocyte biology: a new regulator of podocytes.	No Affiliation Info	0
23147765	Acute kidney injury: Preoperative statin use is associated with a reduced risk of postoperative acut...	No Affiliation Info	0
23147767	Acute kidney injury: Restriction of intravenous chloride intake may reduce the incidence of AKI in c...	No Affiliation Info	0
23147768	Chronic kidney disease: Safe anticoagulation for patients with CKD--are we there yet?	No Affiliation Info	0
23147770	Percutaneous treatment of peripheral artery disease: novel techniques.	Austria	1
23147769	Periprocedural management and approach to bleeding in patients taking dabigatran.	Canada	1
23147771	Dual energy computed tomography demonstrated lung ventilation/perfusion mismatch in a 19-year-old pa...	China	1
23147773	Letter by Kuller and Mackey regarding article, "Lipids and lipoproteins and risk of different vascul...	No Affiliation Info	0
23147774	Letter by Spiegel et al regarding article, "net clinical benefit of warfarin in patients with atrial...	No Affiliation Info	0
23147775	A new technique of endoprosthetic replacement for osteosarcoma of proximal femur with intra-articula...	United Kingdom	1
23147776	Parathyroid adenoma associated with thymoma in a female adult with primary hyperparathyroidism.	Greece	1
23147777	Edge-to-edge Alfieri technique for mitral valve repair:  which indications?	Italy	1
23147778	Subcortical injury is an independent predictor of worsening neurological deficits following awake cr...	United States	1
23147779	Differentiating diffuse World Health Organization grade II and IV astrocytomas with ex vivo magnetic...	Norway	1
23147780	Beneficial effect of subsequent lesion procedures after nonresponse to initial cingulotomy for sever...	United States	1
23147781	Deep brain stimulation of the lateral habenular complex in treatment-resistant depression: traps and...	Germany	1
23147782	Intraoperative visualization of residual tumor: the role of perfusion-weighted imaging in a high-fie...	Germany	1
23147783	Transfemoral transarterial onyx embolization of carotid body paragangliomas:  technical consideratio...	United States	1
23147784	In reply.	No Affiliation Info	0
23147786	Cerebral aneurysms in pregnancy and delivery:  pregnancy and delivery do not increase the risk of an...	South Korea	1
23147785	Hemangiopericytomas in the spine: clinical features, classification, treatment, and long-term follow...	China	1
23147787	Basilar tip aneurysms:  a microsurgical and endovascular contemporary series of 100 patients.	United States	1
23147788	Intra-arterial injection fluorescein videoangiography in aneurysm surgery.	Japan	1
23147789	Crystal structure of a TALE protein reveals an extended N-terminal DNA binding region.	No Affiliation Info	0
23147791	Chronic lymphocytic leukemia: a tale of one or two signals?	United States	1
23147790	Crystal structure of an LRR protein with two solenoids.	No Affiliation Info	0
23147793	The conformational shifts of the voltage sensing domains between Na(v)Rh and Na(v)Ab.	No Affiliation Info	0
23147792	Overcoming the chromatin barrier to end resection.	United States	1
23147794	Defective FGF signaling causes coloboma formation and disrupts retinal neurogenesis.	United States	1
23147795	Evidence for GAL3ST4 mutation as the potential cause of pectus excavatum.	No Affiliation Info	0
23147799	Microchannel-induced change of chemical wave propagation dynamics: importance of ratio between the i...	Japan	1
23147796	The novel quantitative trait locus GL3.1 controls rice grain size and yield by regulating Cyclin-T1;...	China	1
23147798	Non-coding transcription SETs up regulation.	United States	1
23147797	Zscan4 promotes genomic stability during reprogramming and dramatically improves the quality of iPS ...	China	1
23147802	Supplementation with oat protein ameliorates exercise-induced fatigue in mice.	China	1
23147800	Investigation and enhancement of the stability and performance of water reduction systems based on c...	Germany	1
23147801	DNA cohesion through bubble-bubble recognition.	China	1
23147803	Elucidating the behavior of physical fatigue and mental fatigue in cancer patients: a review of the ...	Netherlands	1
23147804	Time-frequency analysis of transient-evoked otoacoustic emissions in children exposed to carboplatin...	United States	1
23147805	A phenanthroimidazole-based fluorescent chemosensor for imaging hydrogen sulfide in living cells.	China	1
23147806	Hereditary neuropathy with liability to pressure palsy: an investigation in a rare and large Chinese...	China	1
23147807	Toxicity of diesel contaminated soils to the subantarctic earthworm Microscolex macquariensis.	United Kingdom	1
23147808	Preventing, assessing, and managing constipation in older adults.	United States	1
23147809	Inhibition of prostaglandin D₂ production by trihydroxy fatty acids isolated from Ulmus davidiana va...	South Korea	1
23147811	Current world literature.	No Affiliation Info	0
23147810	Recent advances in development of amphotericin B formulations for the treatment of visceral leishman...	United Kingdom	1
23147813	Iron promoted conjugate addition: implication of the six-centered mechanism based on the isolation o...	Japan	1
23147814	Evaluation of the ion trap MS performance for quantification of flavonoids and comparison to UV dete...	Other	1
23147815	Detection of buffalo mozzarella adulteration by an ultra-high performance liquid chromatography tand...	Italy	1
23147816	Surfactant protein B amount and kinetics in newborn infants: an optimized procedure.	Italy	1
23147817	Analysis of chloroquine and metabolites directly from whole-body animal tissue sections by liquid ex...	United States	1
23147819	Modeling bacteriophage amplification as a predictive tool for optimized MALDI-TOF MS-based bacterial...	United States	1
23147818	Study of the electrical connection mechanism of sheathless interface for capillary electrophoresis-e...	China	1
23147820	Electron transfer dissociation versus collisionally activated dissociation of cationized biodegradab...	United States	1
23147821	UPLC-ESI-MS study of the oxidation markers released from tannin depolymerization: toward a better ch...	France	1
23147822	Innovative determination of polar organophosphonate pesticides based on high-resolution Orbitrap mas...	Spain	1
23147823	Study of the efficiency for ion transfer through bent capillaries.	United States	1
23147826	Quadrupole mass spectroscopy of neon.	No Affiliation Info	0
23147824	Direct imaging of single cells and tissue at sub-cellular spatial resolution using transmission geom...	United States	1
23147825	Application of MALDI-MS analysis of Rainforest chemodiversity: a keystone for biodiversity conservat...	No Affiliation Info	0
23147827	Gas-phase basicity of 2-furaldehyde.	Italy	1
23147828	Study of small chlorine-doped potassium clusters by thermal ionization mass spectrometry.	Other	1
23147829	Comprehensive characterization of Annonaceous acetogenins within a complex extract by HPLC-ESI-LTQ-O...	France	1
23147830	Quantification of ginsenosides Rh4 and Rk3 in rat plasma by liquid chromatography-tandem mass spectr...	Singapore	1
23147832	Exploring the intrinsic polar [4+2(+)] cycloaddition reactivity of gaseous carbosulfonium and carbox...	Brazil	1
23147831	Reaction pathways of Sc+ (3D, 1D) and Fe+ (6D, 4F) with acetone in the gas phase: metal ion oxidatio...	China	1
23147833	Direct imaging of single cells and tissue at sub-cellular spatial resolution using transmission geom...	No Affiliation Info	0
23147836	Spiralisones A-D: acylphloroglucinol hemiketals from an Australian marine brown alga, Zonaria spiral...	Australia	1
23147834	Ciliary neurotrophic factor (CNTF) promotes skeletal muscle progenitor cell (MPC) viability via the ...	United States	1
23147835	Temperature-controlled self-assembling structure with selective guest-recognition at the liquid-soli...	China	1
23147837	Experimental exposure of eggs to polybrominated diphenyl ethers BDE-47 and BDE-99 in red-eared slide...	United States	1
23147839	Canalith repositioning procedures among 965 patients with benign paroxysmal positional vertigo.	Greece	1
23147841	Stroke: finding atrial fibrillation after cryptogenic stroke.	No Affiliation Info	0
23147843	Multiple sclerosis: oral BG12 for treatment of relapsing-remitting MS.	No Affiliation Info	0
23147838	A chemically-defined screening platform reveals behavioral similarities between primary human mesenc...	United States	1
23147848	Neurodegenerative disease: neural stem cell degeneration in PD linked to nuclear defects.	No Affiliation Info	0
23147846	Neural interfaces for the brain and spinal cord--restoring motor function.	United Kingdom	1
23147849	Stroke: could the neuroprotective drug NA-1 limit ischaemic brain damage after stroke?	No Affiliation Info	0
23147853	Genetics: mutations in potassium channel KCNT1-a novel driver of epilepsy pathogenesis.	No Affiliation Info	0
23147851	Epilepsy: perampanel-new promise for refractory epilepsy?	No Affiliation Info	0
23147854	Neuro-oncology: treatment decisions in elderly patients with glioblastoma.	No Affiliation Info	0
23147856	Evaluation and optimisation of preparative semi-automated electrophoresis systems for Illumina libra...	United Kingdom	1
23147855	White matter disease: myelination achieved by transplanted neural stem cells.	No Affiliation Info	0
23147859	Health inequality--determinants and policies. Editor-in-Chief's introductory comments.	No Affiliation Info	0
23147858	A brownish verrucous plaque on the intergluteal cleft: porokeratosis ptychotropica.	South Korea	1
23147857	Intraocular lens power measured by partial coherence interferometry.	Other	1
23147862	Health Inequality--determinants and policies. Foreword.	Denmark	1
23147860	Health Inequality--determinants and policies. Summary.	Denmark	1
23147864	Lewis acid-catalyzed oxidation of benzylamines to benzamides.	Germany	1
23147863	Health inequality--determinants and policies.	Denmark	1
23147866	Current world literature.	No Affiliation Info	0
23147869	Extraction of sediment-associated polycyclic aromatic hydrocarbons with granular activated carbon.	Netherlands	1
23147870	Plasma cysteine/cystine reduction potential correlates with plasma creatinine levels in chronic kidn...	Brazil	1
23147865	Effect of arctiin on glomerular filtration barrier damage in STZ-induced diabetic nephropathy rats.	China	1
23147868	Pdx1 and controlled culture conditions induced differentiation of human amniotic fluid-derived stem ...	South Korea	1
23147871	Clinical review of treatment options for major depressive disorder in patients with coronary heart d...	Saudi Arabia	1
23147873	Immunological studies of oxidized superoxide dismutase in patients with systemic lupus erythematosus...	Saudi Arabia	1
23147872	Chronic exposure of rats to native high altitude increases in blood pressure via activation of the r...	Saudi Arabia	1
23147874	Use of pressure volume loop closure to check for endotracheal tube cuff function. Randomized clinica...	Saudi Arabia	1
23147875	Difference between continuous positive airway pressure via mask therapy and incentive spirometry to ...	United Kingdom	1
23147876	Role of growth hormone and insulin-like growth factor-I in hyperandrogenism and the severity of acne...	Other	1
23147877	Evaluation of the effect of Bupivacaine (Marcaine) in reducing early post tonsillectomy pain.	Saudi Arabia	1
23147878	Assessment of hepatitis B vaccination and compliance with infection control among dentists in Saudi ...	Saudi Arabia	1
23147879	Congenital heart defects in Down syndrome patients from western Saudi Arabia.	Saudi Arabia	1
23147881	Admission criteria to Saudi medical schools.  Which is the best predictor for successful achievement...	Saudi Arabia	1
23147882	Caroli disease with bilateral severe bullous emphysema.  An unknown component.	Turkey	1
23147880	Nutritional assessment and obesity in Down syndrome children and their siblings in Saudi Arabia.	Saudi Arabia	1
23147883	Malignant spiradenoma/cylindroma of the vulva.	Saudi Arabia	1
23147885	Comparison of pupil diameter measurement with Lenstar LS 900 and OPD Scan II. Not interchangeable de...	Turkey	1
23147884	Diagnostic dilemma of primary mucosal leishmaniasis.	Saudi Arabia	1
23147886	Research as a requirement in a problem-based learning medical curriculum in Saudi Arabia.	Other	1
23147887	Dermatophagoides in childhood asthma.	No Affiliation Info	0
23147888	Voltage-driven transport of ions and DNA through nanocapillaries.	United Kingdom	1
23147889	Bone: Bare bones of glucocorticoid effects on metabolism.	No Affiliation Info	0
23147890	Physical activity levels in the treatment of juvenile fibromyalgia.	United States	1
23147891	Osteoarthritis of the spine: the facet joints.	United States	1
23147892	Role of peripheral nerve fibres in acute and chronic inflammation in arthritis.	Germany	1
23147895	Maintenance of clinical remission in ANCA-associated vasculitis.	United Kingdom	1
23147894	Anaemia in inflammatory rheumatic diseases.	Austria	1
23147901	Lupus nephritis: Transatlantic management recommendations compared.	No Affiliation Info	0
23147896	Duality of fibroblast-like synoviocytes in RA: passive responders and imprinted aggressors.	United States	1
23147902	Connective tissue diseases: SLE-associated arthropathy: truly a benign entity?	No Affiliation Info	0
23147899	Systemic sclerosis--challenges for clinical practice.	United States	1
23147904	Paediatric rheumatology: RCT of adalimumab supports anti-TNF therapy for juvenile-onset ankylosing s...	No Affiliation Info	0
23147903	Coagulation and the fibrin network in rheumatic disease: a role beyond haemostasis.	Germany	1
23147905	Connective tissue diseases: NET loss implicates Nox2 in SLE.	No Affiliation Info	0
23147906	Plant-based modulation of Toll-like receptors: an emerging therapeutic model.	United States	1
23147908	A mechanochemically synthesised solid solution enables engineering of the sorption properties of a W...	South Africa	1
23147907	Controlling the diffusion profile of electroactive species for selective anodic stripping voltammetr...	Japan	1
23147909	In vitro localization of human neural stem cell neurogenesis by engineered FGF-2 gradients.	United States	1
23147910	Travel and transplantation:  travel-related diseases in transplant recipients.	United States	1
23147911	Current world literature.	No Affiliation Info	0
23147914	Are fear avoidance beliefs associated with abdominal muscle activation outcome for patients with low...	Norway	1
23147913	Wells' syndrome associated with chronic myeloid leukaemia.	No Affiliation Info	0
23147915	Comparison of drug concentrations measured in roadside surveys and in seriously injured drivers in B...	Belgium	1
23147916	Resampling the bioconcentration factors data from Japan's chemical substances control law database t...	Japan	1
23147917	The evolution of technological strategies in the prevention of dialysis water pollution: sixteen yea...	Italy	1
23147919	Prostate cancer: epidemiologic studies and changing clinical practice.	No Affiliation Info	0
23147918	Toward detection of DNA-bound proteins using solid-state nanopores: insights from computer simulatio...	United States	1
23147921	Transplantation: hydrogen sulphide reduces warm renal ischaemic injury.	No Affiliation Info	0
23147922	Clinical trials: mirabegron for treating OAB.	No Affiliation Info	0
23147923	Prostate cancer: two whole-blood RNA expression signatures for aggressive CRPC.	No Affiliation Info	0
23147926	Kidney cancer: CRM1-a novel drug target for renal cell carcinoma?	No Affiliation Info	0
23147924	Prostate cancer: Time for active surveillance of intermediate-risk disease?	United Kingdom	1
23147928	Paediatric urology: scoring system for testicular torsion.	No Affiliation Info	0
23147929	Paediatrics: understanding pubertal precocity-are kids growing up faster?	No Affiliation Info	0
23147930	Effects of posterior urethral valves on long-term bladder and sexual function.	Finland	1
23147931	Male factor infertility: inflammasome might contribute to impaired fertility of men with spinal cord...	No Affiliation Info	0
23147933	Sexual dysfunction: rodent models of diabetic ED.	No Affiliation Info	0
23147937	Prostate cancer: challenges in selecting the optimal therapy.	No Affiliation Info	0
23147938	Incontinence: sling when you're winning-determining the value of repeat surgery after failed miduret...	No Affiliation Info	0
23147942	A facile protocol for the immobilisation of vesicles, virus particles, bacteria, and yeast cells.	Switzerland	1
23147941	Homicidal behaviour among people with avoidant, dependent and obsessive-compulsive (cluster C) perso...	Finland	1
23147943	Cadernos de Saúde Pública/Reports in Public Health: a new phase.	No Affiliation Info	0
23147945	[Socioeconomic and demographic indicators associated with functional disability in the elderly].	Portugal	1
23147946	Prevention of cervical cancer in women with ASCUS in the Brazilian Unified National Health System: c...	Other	1
23147944	[The morality of nanotechnology].	Other	1
23147948	[The metrology of uncertainty: a study of vital statistics from Chile and Brazil].	Chile	1
23147947	Waist circumference and waist circumference to height ratios of Kaingáng indigenous adolescents from...	Other	1
23147949	[Family Health Support Centers: challenges and opportunities from the perspective of primary care pr...	Brazil	1
23147950	[Hemoglobin level in older adults and the association with nutritional status and use of health serv...	Other	1
23147953	[Voice disorders related to job stress in teaching: a case-control study].	Brazil	1
23147952	[Prenatal care in public and private health services: a population-based survey in Rio Grande, Rio G...	Other	1
23147951	[Uses and influence of health evaluation in two studies on the Brazilian National Dengue Fever Contr...	Other	1
23147954	Cancer incidence in the Western Amazon: population-based estimates in Rio Branco, Acre State, Brazil...	Other	1
23147955	Men's health: a population-based study on social inequalities.	Other	1
23147957	[Sedentary leisure time and food consumption among Brazilian adolescents: the Brazilian National Sch...	Other	1
23147958	[Differences in risk factors for infant mortality in five Brazilian cities: a case-control study bas...	Other	1
23147956	[Integrative and complementary health practices: the supply and production of care in the Unified Na...	Other	1
23147959	Factors influencing growth and intestinal parasitic infections in preschoolers attending philanthrop...	Other	1
23147960	Temporal analysis of the relationship between dengue and meteorological variables in the city of Rio...	Other	1
23147961	[Translation and cross-cultural adaptation of the Brazilian version of the Hospital Survey on Patien...	Other	1
23147963	Structure and speciation of chromium ions in chromium doped Fe2O3 catalysts.	United Kingdom	1
23147962	Changes in cigarette consumption patterns among Brazilian smokers between 1989 and 2008.	Brazil	1
23147964	The inhibition by levocetirizine and fexofenadine of the histamine-induced wheal and flare response ...	Germany	1
23147965	The use of intravenous palivizumab for treatment of persistent RSV infection in children with leukem...	United States	1
23147966	Fish consumption in infancy and asthma-like symptoms at preschool age.	Netherlands	1
23147967	Self-Report of Child Care Directors Regarding Return-to-Care.	United States	1
23147968	Prevalence of overweight in Dutch children with Down syndrome.	Netherlands	1
23147969	Autism after infection, febrile episodes, and antibiotic use during pregnancy: an exploratory study.	Denmark	1
23147970	Informed choice for newborn blood spot screening in the United Kingdom: a survey of parental percept...	Canada	1
23147971	Cost-effectiveness of an injury and drowning prevention program in Bangladesh.	Bangladesh	1
23147973	Home safety and low-income urban housing quality.	United States	1
23147972	Parents smoking in their cars with children present.	United States	1
23147974	Management of neonates with hyperbilirubinemia: improving timeliness of care using a clinical pathwa...	United States	1
23147975	Obesity disparities among elementary-aged children: data from school-based BMI surveillance.	United States	1
23147976	Successful tocilizumab treatment in a child with refractory Takayasu arteritis.	Spain	1
23147977	Expected body weight in adolescents: comparison between weight-for-stature and BMI methods.	United States	1
23147978	A randomized placebo-controlled trial of massage therapy on the immune system of preterm infants.	United States	1
23147979	Timing of the introduction of complementary foods in infancy: a randomized controlled trial.	Other	1
23147981	Pediatric providers' self-reported knowledge, practices, and attitudes about concussion.	United States	1
23147980	Hypothalamic-pituitary-adrenal axis suppression in asthmatic school children.	South Africa	1
23147982	Effectiveness of protective eyewear in reducing eye injuries among high school field hockey players.	Other	1
23147983	Pyridoxine-dependent epilepsy with elevated urinary α-amino adipic semialdehyde in molybdenum cofact...	Netherlands	1
23147984	Neuromuscular stimulation of quadriceps in patients hospitalised during an exacerbation of COPD: a c...	United Kingdom	1
23147985	Nebulized arformoterol: what is its place in the management of COPD?	United States	1
23147986	Transplanting the adolescent cystic fibrosis patient: can we do it?	United States	1
23147988	What do French patients and geneticists think about prenatal and preimplantation diagnoses in Marfan...	France	1
23147989	Ruthenium-catalyzed reductive coupling of 1,3-enynes and aldehydes by transfer hydrogenation: anti-d...	United States	1
23147987	Effects-based marine ecological risk assessment at a polychlorinated biphenyl-contaminated site in S...	Canada	1
23147991	Occupational experiences and subjective well-being of mothers of children with ASD in Taiwan.	Other	1
23147990	High-throughput identification of putative receptors for cancer-binding peptides using biopanning an...	United States	1
23147992	Surgical treatment of hepatocellular carcinoma associated with the metabolic syndrome.	France	1
23147993	A novel HLA-A*0201 restricted peptide derived from cathepsin G is an effective immunotherapeutic tar...	United States	1
23147996	The severity of neural invasion is associated with shortened survival in colon cancer.	Germany	1
23147994	Endoglin (CD105) contributes to platinum resistance and is a target for tumor-specific therapy in ep...	United States	1
23147995	miRNA-34b inhibits prostate cancer through demethylation, active chromatin modifications, and AKT pa...	United States	1
23147997	Vaccination with irradiated tumor cells pulsed with an adjuvant that stimulates NKT cells is an effe...	Other	1
23147998	Surveying the territory.	No Affiliation Info	0
23148000	Physical fitness during medical school: a 4-year study at the Uniformed Services University.	United States	1
23147999	CAFM Educational Research Alliance (CERA) 2011 Residency Director survey: background, methods, and r...	United States	1
23148002	Mental health treatment by family physicians: current practices and preferences.	United States	1
23148001	Can we effectively use the two-item PHQ-2 to screen for postpartum depression?	United States	1
23148013	Accessing the coordination chemistry of phosphorus(I) zwitterions.	Canada	1
23148014	Quantification of leachate discharged to groundwater using the water balance method and the hydrolog...	Malaysia	1
23148016	A dimensional approach to measuring anxiety for DSM-5.	United States	1
23148020	Exoglucanase-encoding genes from three Wickerhamomyces anomalus killer strains isolated from olive b...	Italy	1
23148005	Assessing oral health curriculum in US family medicine residency programs: a CERA study.	United States	1
23148017	Rhizome of Anemarrhena asphodeloides counteracts diabetic ophthalmopathy progression in streptozotoc...	China	1
23148019	Discovery of a novel aggregation domain in the huntingtin protein: implications for the mechanisms o...	Switzerland	1
23148015	Reference ranges of atrioventricular valve areas by means of four-dimensional ultrasonography using ...	Brazil	1
23148022	The effects of monetary and social rewards on task performance in children and adolescents: liking i...	Belgium	1
23148025	Impact of postoperative morbidity on long-term survival after oesophagectomy.	Australia	1
23148028	Hair growth activity of Crataegus pinnatifida on C57BL/6 mouse model.	South Korea	1
23148030	Dienamine-mediated inverse-electron-demand hetero-diels-alder reaction by using an enantioselective ...	Denmark	1
23148018	Minimal-access colorectal surgery is associated with fewer adhesion-related admissions than open sur...	United Kingdom	1
23148024	Metabolically competent human skin models: activation and genotoxicity of benzo[a]pyrene.	Germany	1
23148027	Disease modelling using induced pluripotent stem cells: status and prospects.	Singapore	1
23148031	Glycyrrhetinic acid exhibits strong inhibitory effects towards UDP-glucuronosyltransferase (UGT) 1A3...	China	1
23148023	Pharmacokinetics of hesperetin and naringenin in the Zhi Zhu Wan, a traditional Chinese medicinal fo...	China	1
23148021	Expression levels of neuroimmune biomarkers in hypothalamus of allergic mice after phthalate exposur...	Japan	1
23148032	Hypointense hepatocellular nodules on hepatobiliary phase of Gd-EOB-DTPA-enhanced MRI: can increasin...	Japan	1
23148004	Shots by STFM: value of immunization software to family medicine residency directors: a CERA study.	United States	1
23148036	Transcriptional profiling reveals sexual differences of the leaf transcriptomes in response to droug...	China	1
23148035	Differences in hydraulic architecture between mesic and xeric Pinus pinaster populations at the seed...	Spain	1
23148006	An ounce of prevention: how are we managing the early assessment of residents' clinical skills?: A C...	United States	1
23148033	A luminescent cyclometalated iridium(III) complex accumulates in mitochondria and induces mitochondr...	China	1
23148034	In vivo validation of 4D flow MRI for assessing the hemodynamics of portal hypertension.	United States	1
23148026	Diagnostic validity across racial and ethnic groups in the assessment of adolescent DSM-IV disorders...	United States	1
23148040	Impact of dietary factors and food processing on food allergy.	Germany	1
23148041	Simple Method for evaluating the degree of liver parenchymal enhancement in the hepatobiliary phase ...	Japan	1
23148039	Graphene-like structure of activated anthracites.	United States	1
23148029	The Netherlands Obsessive Compulsive Disorder Association (NOCDA) study: design and rationale of a l...	Netherlands	1
23148037	Investigating the relative importance of individual differences on the work-family interface and the...	United States	1
23148042	Nonlocal tunnel magnetoresistance and thermal rectification effect in a nanoscale three-terminal jun...	China	1
23148038	Assessment of intracranial blood flow velocities using a computer controlled vasoactive stimulus: a ...	Canada	1
23148043	Energy transport in a one-dimensional harmonic ternary chain with Ornstein-Uhlenbeck disorder.	Brazil	1
23148047	Pressure-induced superconductivity in Ba0.5Sr0.5Fe2As2.	United States	1
23148009	Mrs Steadman's lesson.	Canada	1
23148049	Tunneling through superlattices: the effect of anisotropy and kinematic coupling.	United States	1
23148044	Initial experience of 3 tesla apparent diffusion coefficient values in differentiating benign and ma...	Turkey	1
23148045	Anti-proliferative effects of physiological concentrations of enterolactone in models of prostate tu...	Other	1
23148048	Vegetables and PUFA-rich plant oil reduce DNA strand breaks in individuals with type 2 diabetes.	Austria	1
23148050	Responsive helical self-assembly of AgNO3 and melamine through asymmetric coordination for Ag nanoch...	China	1
23148057	Person-first language: laudable cause, horrible prose.	No Affiliation Info	0
23148055	More than just evacuation.	No Affiliation Info	0
23148058	Person-first language: what it means to be a "person".	No Affiliation Info	0
23148010	Working part time in academic family medicine.	United States	1
23148003	Graduate medical education and primary care workforce: a CERA study.	United States	1
23148052	Wait times in the emergency department for patients with mental illness.	Canada	1
23148053	New oral anticoagulants.	Other	1
23148046	Intraductal papillary mucinous neoplasm penetrating to the stomach, duodenum, and jejunum demonstrat...	Japan	1
23148051	Short TE (7) Li-MRS confirms Bi-exponential lithium T2 relaxation in humans and clearly delineates t...	United States	1
23148056	Iodinated contrast-induced thyrotoxicosis.	United Kingdom	1
23148061	The face of an epidemic.	No Affiliation Info	0
23148007	Exploratory analysis of patients' motivations to quit smoking and participate in smoking cessation c...	United States	1
23148054	Reducing all-cause mortality among patients with psychiatric disorders: a population-based study.	Australia	1
23148011	Health care economics, the PCMH, and education for the future: the importance of prospective care co...	United States	1
23148060	Corticosteroid therapy in acute respiratory distress syndrome.	Other	1
23148008	RAFT (Resident Assessment Facilitation Team): supporting resident well-being through an integrated a...	United States	1
23148062	Doctor gratitude: a framework and practical suggestions.	No Affiliation Info	0
23148063	Neutron-diffraction evidence for the ferrimagnetic ground state of a molecule-based magnet with weak...	United States	1
23148065	Review: limited evidence suggests mental health literacy interventions may improve help-seeking atti...	Norway	1
23148064	Comet: an open-source MS/MS sequence database search tool.	United States	1
23148067	The future of cardiac surgery: find opportunity in change!	Switzerland	1
23148066	How will reforms to the NHS in England affect mental health services?	United Kingdom	1
23148068	The present and future of thoracic surgery within the European Association for Cardio-Thoracic Surge...	Belgium	1
23148069	Hands across mountains: a view from Asia.	Singapore	1
23148070	EACTS day in the new EACTS House.	Switzerland	1
23148071	The view from the interventionalist.	United Kingdom	1
23148072	The future of aortic surgery in Europe.	Switzerland	1
23148074	The North American view: the perspective of the American Association for Thoracic Surgeons.	United States	1
23148073	EACTS in the future: second strategic conference. The view from the BRICS countries.	Brazil	1
23148075	The acquired cardiac disease domain: the next 5 years.	United Kingdom	1
23148076	The future of cardiothoracic surgery: a view from North America.	United States	1
23148078	Differential mobility of pigment-protein complexes in granal and agranal thylakoid membranes of C₃ a...	United States	1
23148081	Incremental value of CT perfusion in the diagnosis of coronary artery disease.	United Kingdom	1
23148079	An essential role for tomato sulfite oxidase and enzymes of the sulfite network in maintaining leaf ...	France	1
23148080	The rubisco small subunit is involved in tobamovirus movement and Tm-2²-mediated extreme resistance.	China	1
23148082	Layer-specific analysis of myocardial deformation for assessment of infarct transmurality: compariso...	Germany	1
23148083	Budd-Chiari syndrome complicating the surgical closure of patent foramen ovale in right minithoracot...	Italy	1
23148084	Cognitive function after transapical aortic valve implantation: a single-centre study with 3-month f...	Germany	1
